Filename,TextGridLabel,duration,in_00,f0_00,f1_00,f2_00,f3_00,in_10,f0_10,f1_10,f2_10,f3_10,in_20,f0_20,f1_20,f2_20,f3_20,in_30,f0_30,f1_30,f2_30,f3_30,in_40,f0_40,f1_40,f2_40,f3_40,in_50,f0_50,f1_50,f2_50,f3_50,in_60,f0_60,f1_60,f2_60,f3_60,in_70,f0_70,f1_70,f2_70,f3_70,in_80,f0_80,f1_80,f2_80,f3_80,in_90,f0_90,f1_90,f2_90,f3_90,in_100,f0_100,f1_100,f2_100,f3_100
p04_carrier_1_chiaba_hit,i,0.06568791352267012,74.55681883688158,--undefined--,1818.2547344827035,2980.0056021293517,3582.2603007866965,77.68682297397405,--undefined--,663.0019496189957,2388.196924911017,3105.875591951537,79.52769480147077,--undefined--,566.3332674565181,2301.7366463651574,3101.324681730159,80.14678168599063,--undefined--,593.8451706354675,2288.6671165300145,3122.575515990184,80.13737405855441,--undefined--,611.125008252391,2294.926471395983,3088.5567086162873,80.55560290613148,--undefined--,622.9923193931045,2174.72150037064,3134.361978269039,81.27492735280137,118.08945017002367,632.2786407061161,2031.6751607598544,3119.6893664272675,81.85928348162733,117.6893468584176,638.230374971275,1889.0707773093231,2948.0952127386,82.04530485377302,117.02460568669034,666.9801020269133,1888.3375491265865,2944.468374799835,82.07099701810958,117.4850542770798,690.1659858381661,1864.7708991464306,2964.89676523168,82.13851277487548,117.96108739716938,684.3142990702822,1691.0080150087326,2939.678197202727
p04_carrier_1_chiaba_hit,a,0.0663658874295826,82.13851277487548,117.96108739716938,684.3142990702822,1691.0080150087326,2939.678197202727,82.25056190761653,118.4558097572561,696.6008445387424,1646.1003524761984,2757.4526270541564,82.51733641409204,118.7882261076699,706.5051348776711,1626.622696851641,2601.7718908249367,82.86722345828487,119.14976821203943,692.1915516069494,1559.4578091284427,2672.5592897306356,83.08586985438001,119.54058677628984,677.5776995629338,1498.5364905414444,2677.3180585447053,82.97924423111347,120.0241840746171,664.3785190756786,1442.796882412067,2623.9736653618484,82.62868381994322,120.48999660738545,656.0234878513512,1396.7889379988203,2457.163333702823,82.0632378755274,120.93612986625544,660.383842894859,1369.1091028226115,2324.5656453161264,81.28880865269245,121.6314612336292,663.5372098108177,1342.1903259638705,2253.8954944156762,80.41664912093195,122.50504298334323,646.4649412473918,1294.736180192102,2353.405457862265,79.70256548795271,123.572219423868,639.7582821751544,1249.5009591271105,2314.9147632452
p04_carrier_1_costonhialo_hit,i,0.06972963629590678,73.7203268428005,110.56996869984944,489.92221746057106,2509.727442402591,3759.440400202517,74.01131168010092,111.20152641738572,510.2396224725915,2540.3312895213776,3745.5784226801607,74.64252549782469,113.08410143332974,528.965297904761,2558.761240806295,3766.5607457074093,75.46489232043898,114.22629063178533,547.8020654288862,2551.374244835683,3797.184838610577,76.4019724544495,114.9467931289984,570.9285675339116,2467.390210408591,3783.4380311303275,77.1635523363289,115.27953883675278,608.9537368086243,2454.291265118758,3778.492350626458,77.5958738330112,115.49119376430836,667.8068308413955,2447.009730762143,3746.572612189188,77.91601153036746,115.57125853446288,759.8280070527244,2406.215027508468,3653.6843927207733,78.29197046333752,115.52736313477921,798.348115813398,2419.3464583387536,3661.719628851412,78.68407476939224,115.29660021078124,828.9182806811673,1934.350580302025,3262.8015273122514,79.03016372154882,114.67234956446381,858.3429290326632,903.7550228784511,2397.088404283848
p04_carrier_1_costonhialo_hit,a,0.08655132438887403,79.03016372154882,114.67234956446381,858.3429290326632,903.7550228784511,2397.088404283848,79.52210611330717,114.18316688685319,928.9208641517386,1899.6227826401323,2557.9163214845044,80.24560011067199,114.37471311359384,895.2276938193927,1819.4173428286358,3138.0855085711783,80.95370663702877,114.85423530870553,869.572640873752,1721.8140104199579,3163.532775464415,81.2115470064455,115.46546662962284,851.0969630688588,1649.215643284855,3038.6318053511677,81.0098130052829,116.26117197893296,816.7956334552412,1602.1572203618832,3038.5464770248263,80.74452112504622,117.54224517717535,756.2156752773838,1638.2758281300592,3013.247917521122,80.72514587194692,118.31583867101851,680.3385977820507,1669.3294292507971,2741.7992750336125,80.39905305989568,118.23996043889338,631.8287725305205,1632.9259741944138,2755.8564935312243,79.6148827149506,117.70961894826763,537.6813966192524,1653.4504899307244,2439.290225089413,79.26516637055018,117.4891468034831,478.9023466152424,1706.8380550716515,2081.465208040064
p04_carrier_1_crobo_hit,o,0.11525499042691667,75.99982974741019,118.71853821353427,476.25159120629195,1310.4316758238983,2512.8626679783597,79.6816114512514,119.41750681764124,516.4784395948448,1305.8181462408706,2530.1602648981143,81.54838887800683,118.85569855009463,547.0954579555441,1283.5279616374082,2408.1504625295934,82.75237349807041,118.63592024688901,560.4123586698194,1227.3960760617983,2439.5548788204787,83.76294997900163,118.2147777097624,570.7616964229346,1186.674271768625,2480.5223289313335,84.22410611421967,118.001052711751,569.9569816915129,1149.5068648501847,2528.05020905951,84.20408961577166,118.33290967511857,562.8794021957794,1105.093816888502,2445.435948394627,83.87420106334662,118.60506371957034,543.9137137787684,1053.5781999157261,2437.314158963824,82.65676630714775,118.4763213365117,508.1085942228776,1036.2788288694396,2414.2704837773535,80.34452397184171,118.00432631866154,489.37120740421284,1074.9530289344937,2439.495806766272,77.4403170632331,117.83991806969777,481.4726635968876,1098.025408794128,2462.411524174997
p04_carrier_1_falubiko_hit,i,0.0825792778649922,70.1777101235439,123.34718679889038,402.32901085990494,2414.6288605185723,3572.6635174163384,74.61191116680891,122.81563744041736,396.5969068146973,2394.82582644618,3504.0004594806865,78.19690550261397,122.1233354232548,390.0873557427037,2477.101178081657,3350.622007843925,80.44335677803079,121.52054057245248,381.1438411633855,2290.3151400874067,2593.5581580299518,81.35693367123626,121.08655484603848,383.8227751832299,2217.561907753867,2951.028772782315,81.27912248700002,120.79540655426733,379.3340213785328,2211.9999765770513,3262.2511961958244,80.6579744489874,120.52023695956244,369.7066625382551,2283.666820248621,3266.8880651334357,79.43016501346837,119.82017076202031,356.7101652737825,2320.289506644153,2982.279956852,77.24945033752036,118.74585140444222,342.4213548026774,2181.338327871287,2632.0414173311297,74.01922871285545,118.15409253952421,340.7871310682187,2133.3411687233047,2606.8849180435764,70.14887874949788,118.78605923917532,360.2120816704325,2226.6085658235484,2596.3338495254275
p04_carrier_1_faluduako_hit,u,0.060244944379152066,80.58773281984332,115.78426689968904,429.3087225767137,1177.5995688108574,3222.519195830507,81.23154854407122,116.3548954804219,441.5421313352017,1139.5585663219993,3095.7412571693512,81.85163550937214,116.78855369172472,452.8373016270878,1142.6345073303366,2808.811437238374,82.31194813436534,116.95808817917975,461.6997656873328,1143.4715103290157,2709.6023224970427,82.53725389551279,117.00672791301115,468.2393462863897,1142.1706505616871,2789.6393969321816,82.50365691573401,117.00794819004311,475.30279501460933,1144.1838297932645,2878.5236548320136,82.47502102266377,117.41715413029557,484.01273398048187,1144.5641182235372,2922.2055366625195,82.62809119349227,117.83897586192343,499.2775294586473,1135.6293654355254,2768.8786166478744,83.019939469357,118.28304930496488,522.4761192052155,1138.7213682996019,2665.406381945033,83.61218425896575,118.52269002485455,552.6575457933619,1152.398580410472,2605.813169251493,84.23468344214666,118.67302109010777,582.2160360699337,1193.6782725879575,2858.88225094651
p04_carrier_1_faluduako_hit,a,0.06693007819354935,84.23468344214666,118.67302109010777,582.2160360699337,1193.6782725879575,2858.88225094651,84.69157789782824,118.77677412510361,611.500511917938,1236.7448008416336,3087.9130825235397,84.81756383212507,118.92672476993492,632.3650248349799,1262.017955157199,3065.4591092902797,84.70621657773528,119.12037191801079,649.2427439041054,1290.8016361028417,3052.6686074458053,84.53954493814747,119.40842919332388,658.5418391648523,1303.6040400937893,3170.0359761718028,84.31982694424703,119.69824876057288,652.7192294084118,1277.5098612327195,3581.6942839280064,83.79476300711494,119.99389602902443,648.2956327464744,1278.6518078585943,3327.6835772984127,82.72663835592688,120.35701301697958,638.3977154806429,1267.698441819101,2906.673917518446,80.89943312374385,120.62097033854852,615.8399608845059,1216.3031523109762,2465.3129230299123,78.31857759038685,120.74112009440933,639.5221287655585,1216.1187824540311,2371.842046038953,75.41059862213962,119.99865119456734,661.9516277131789,1237.5503214569835,2363.2913185268835
p04_carrier_1_falufialo_hit,i,0.039713458239338584,72.66404132910301,--undefined--,1048.997087856292,2593.17950293882,2971.238434070924,75.3548955998636,119.82452380149246,414.650019074664,2297.0496131552186,2629.144854767842,77.28717384889906,119.82452380149246,435.2306553346708,2288.145852097952,2941.767068172689,78.74998510357399,120.10013037163189,455.8112915946769,2279.242091040686,3254.3892815775253,79.73729551786032,120.42152569350536,471.97022286443985,2286.6729362627134,3294.7909272409884,80.36899335236015,120.57281587190336,485.16303306237177,2305.0611881846403,3152.584469481659,80.64799926857913,120.39315521529316,498.7229383773417,2303.7186875533553,3006.8900002867686,80.69713564648463,120.21349455868298,516.4773953305248,2076.926006290613,2821.34034533186,80.53565025737306,119.9897705614857,534.2318522837072,1850.133325027878,2635.790690376958,80.5986617225883,119.75646931708027,550.8652478398722,1705.1575621116679,2544.8623035929004,80.8546702061719,119.6246324383321,566.6264805958999,1623.8336855180899,2527.547324977124
p04_carrier_1_falufialo_hit,a,0.07419455050329371,80.8546702061719,119.6246324383321,566.6264805958999,1623.8336855180899,2527.547324977124,81.594800371571,119.81352019913895,590.4381134377363,1508.5335455530344,2514.7289762821633,82.12253758617844,119.90907384118277,609.9651745777375,1461.153556674166,2519.3197478297034,82.39577373538928,119.82938745886592,639.355105559926,1594.3305570181406,2505.3408410629418,82.62326007631727,119.54799803109026,647.0848846702005,1548.1140448083233,2521.356584893541,82.81486573801438,119.0756144500661,648.993401590402,1501.8210507575184,2531.392716610801,82.82894946489668,118.6377639288557,649.8863376699792,1513.9244289264825,2529.4888239457923,82.5657320067905,118.26105455856522,643.2443735974689,1526.6534743951936,2576.621457713789,81.95787369399996,117.94414990377427,612.0650764557491,1470.4620797231996,2549.6040010551683,80.84370001290658,117.51084472090837,576.2382288651181,1453.9400309791044,2708.666295857116,79.06774406340007,117.22277065311347,546.0723953270298,1527.6671541232818,3155.2123885084748
