participant,exp,item,status,syll1Lab,syll1Dur,syll2Lab,syll2Dur,syll3Lab,syll3Dur,syll4Lab,syll4Dur,syll5Lab,syll5Dur,critOnsetLab,critOnsetDur,labID
p03,syllable,chiaba,hit,chia,0.54,ba,0.26,NA,0,NA,0,NA,0,ch,0.16,[S]
p03,syllable,costonhialo,hit,cos,0.42,to,0.41,nhia,0.53,lo,0.37,NA,0,nh,0.09,NA
p03,syllable,crobo,hit,cro,0.4,bo,0.34,NA,0,NA,0,NA,0,cr,0.1,NA
p03,syllable,falotro,hit,fa,0.28,lo,0.47,tro,0.43,NA,0,NA,0,NA,0,NA
p03,syllable,falubiko,hit,fa,0.47,lu,0.43,bi,0.41,ko,0.39,NA,0,NA,0,NA
p03,syllable,faluduako,hit,fa,0.51,lu,0.41,dua,0.53,ko,0.47,NA,0,NA,0,NA
p03,syllable,falufaisto,hit,fa,0.48,lu,0.36,fais,0.7,to,0.31,NA,0,f,0.21,NA
p03,syllable,falupiro,hit,fa,0.41,lu,0.31,pi,0.56,ro,0.32,NA,0,p,0.22,NA
p03,syllable,falutraigo,hit,fa,0.43,lu,0.34,trai,0.59,go,0.52,NA,0,tr,0.26,NA
p03,syllable,flauro,hit,flau,0.61,ro,0.22,NA,0,NA,0,NA,0,fl,0.12,NA
p03,syllable,lakabiaisto,hit,la,0.36,ka,0.42,biais,0.68,to,0.28,NA,0,b,0.18,NA
p03,syllable,lakabuaisto,hit,la,0.37,ka,0.4,buais,0.68,to,0.33,NA,0,NA,0,NA
p03,syllable,lakadiaisto,hit,la,0.45,ka,0.54,diais,0.62,to,0.42,NA,0,d,0.11,NA
p03,syllable,lakaduaisto,hit,la,0.39,ka,0.44,duais,0.75,to,0.35,NA,0,d,0.11,NA
p03,syllable,lakafiaisto,hit,la,0.33,ka,0.39,fiais,0.74,to,0.3,NA,0,f,0.21,NA
p03,syllable,lakafuaisto,hit,la,0.37,ka,0.44,fuais,0.66,to,0.36,NA,0,f,0.19,NA
p03,syllable,lakagiaisto,hit,la,0.36,ka,0.45,giais,0.68,to,0.41,NA,0,g,0.19,[g]
p03,syllable,lakaguaisto,hit,la,0.35,ka,0.45,guais,0.7,to,0.29,NA,0,g,0.14,[w]
p03,syllable,lakakiaisto,hit,la,0.41,ka,0.52,kiais,0.81,to,0.42,NA,0,k,0.29,NA
p03,syllable,lakakuaisto,hit,la,0.31,ka,0.41,kuais,0.74,to,0.35,NA,0,k,0.21,NA
p03,syllable,lakapiaisto,hit,la,0.35,ka,0.34,piais,0.71,to,0.22,NA,0,p,0.22,NA
p03,syllable,lakapuaisto,hit,la,0.36,ka,0.43,puais,0.78,to,0.32,NA,0,p,0.23,NA
p03,syllable,lakatiaisto,hit,la,0.38,ka,0.45,tiais,0.8,to,0.35,NA,0,t,0.23,NA
p03,syllable,lakatuaisto,hit,la,0.41,ka,0.34,tuais,0.69,to,0.28,NA,0,t,0.17,NA
p03,syllable,liamo,hit,lia,0.48,mo,0.27,NA,0,NA,0,NA,0,l,0.11,NA
p03,syllable,lifro,hit,li,0.4,fro,0.33,NA,0,NA,0,NA,0,l,0.1,NA
p03,syllable,lliape,hit,llia,0.48,NA,0,NA,0,NA,0,NA,0,ll,0.14,NA
p03,syllable,manhiala,hit,ma,0.36,nhia,0.5,la,0.27,NA,0,NA,0,nh,0.14,NA
p03,syllable,matio,hit,ma,0.47,tio,0.26,NA,0,NA,0,NA,0,NA,0,NA
p03,syllable,mebochiana,hit,me,0.4,bo,0.38,chia,0.58,na,0.25,NA,0,ch,0.2,[S]
p03,syllable,nhiape,hit,nhia,0.57,pe,0.22,NA,0,NA,0,NA,0,nh,0.14,NA
p03,syllable,pachialo,hit,pa,0.29,chia,0.62,lo,0.24,NA,0,NA,0,ch,0.21,[S]
p03,syllable,palufago,hit,pa,0.31,lu,0.33,fa,0.54,go,0.18,NA,0,f,0.23,NA
p03,syllable,palufasti,hit,pa,0.37,lu,0.39,fas,0.69,ti,0.18,NA,0,f,0.29,NA
p03,syllable,palufauro,hit,pa,0.35,lu,0.37,fau,0.73,ro,0.19,NA,0,f,0.22,NA
p03,syllable,palufauto,hit,pa,0.3,lu,0.32,fau,0.5,NA,0.29,NA,0,f,0.21,NA
p03,syllable,paluguato,hit,pa,0.3,lu,0.47,gua,0.42,NA,0.24,NA,0,g,0.1,[g]
p03,syllable,palumaisto,hit,pa,0.39,lu,0.32,mais,0.73,to,0.3,NA,0,m,0.27,NA
p03,syllable,paluparo,hit,pa,0.24,lu,0.33,pa,0.57,ro,0.18,NA,0,p,0.22,NA
p03,syllable,palutarlo,hit,pa,0.36,lu,0.28,tar,0.59,lo,0.25,NA,0,t,0.24,NA
p03,syllable,palutrauco,hit,pa,0.27,lu,0.37,trau,0.61,co,0.45,NA,0,tr,0.25,NA
p03,syllable,payielo,hit,pa,0.23,yie,0.56,lo,0.27,NA,0,NA,0,y,0.19,hard
p03,syllable,polafo,hit,po,0.21,la,0.41,fo,0.24,NA,0,NA,0,l,0.15,NA
p03,syllable,rausto,hit,raus,0.64,to,0.41,NA,0,NA,0,NA,0,r,0.13,NA
p03,syllable,ruyiola,hit,ru,0.29,yio,0.57,la,0.28,NA,0,NA,0,y,0.22,NA
p03,syllable,tuliafo,hit,tu,0.24,lia,0.55,fo,0.32,NA,0,NA,0,l,0.15,NA
p04,syllable,chiaba,hit,chia,0.39,ba,0.52,NA,0,NA,0,NA,0,ch,0.11,NA
